"NAICS","BEA_Sector","BEA_Summary","BEA_Detail","stateior_Summary","ModelSchema"
"3329136","31G","332","332913","332",""
"33291361","31G","332","332913","332",""
"3329136100","31G","332","332913","332",""
"332919","31G","332","33291A","332",""
"3329191","31G","332","33291A","332",""
"33291911","31G","332","33291A","332",""
"3329191101","31G","332","33291A","332",""
"33291912","31G","332","33291A","332",""
"3329191201","31G","332","33291A","332",""
"3329194","31G","332","33291A","332",""
"33291944","31G","332","33291A","332",""
"3329194401","31G","332","33291A","332",""
"33291945","31G","332","33291A","332",""
"3329194532","31G","332","33291A","332",""
"3329194536","31G","332","33291A","332",""
"3329194539","31G","332","33291A","332",""
"33299","31G","332","332991","332",""
"33299","31G","332","332996","332",""
"33299","31G","332","332999","332",""
"33299","31G","332","33299A","332",""
"332991","31G","332","332991","332",""
"3329911","31G","332","332991","332",""
"33299111","31G","332","332991","332",""
"3329911101","31G","332","332991","332",""
"3329911102","31G","332","332991","332",""
"3329911103","31G","332","332991","332",""
"3329911104","31G","332","332991","332",""
"3329911105","31G","332","332991","332",""
"3329911107","31G","332","332991","332",""
"3329911109","31G","332","332991","332",""
"3329911111","31G","332","332991","332",""
"3329911112","31G","332","332991","332",""
"3329911113","31G","332","332991","332",""
"3329911114","31G","332","332991","332",""
"3329911118","31G","332","332991","332",""
"3329911119","31G","332","332991","332",""
"3329911120","31G","332","332991","332",""
"3329911123","31G","332","332991","332",""
"3329911124","31G","332","332991","332",""
"3329911127","31G","332","332991","332",""
"3329911129","31G","332","332991","332",""
"3329911133","31G","332","332991","332",""
"3329911135","31G","332","332991","332",""
"3329911155","31G","332","332991","332",""
"3329913","31G","332","332991","332",""
"33299131","31G","332","332991","332",""
"3329913132","31G","332","332991","332",""
"3329913133","31G","332","332991","332",""
"3329913134","31G","332","332991","332",""
"3329915","31G","332","332991","332",""
"33299151","31G","332","332991","332",""
"3329915111","31G","332","332991","332",""
"3329915112","31G","332","332991","332",""
"3329915124","31G","332","332991","332",""
"3329915125","31G","332","332991","332",""
"3329915141","31G","332","332991","332",""
"3329915193","31G","332","332991","332",""
"3329917","31G","332","332991","332",""
"33299171","31G","332","332991","332",""
"3329917117","31G","332","332991","332",""
"3329917153","31G","332","332991","332",""
"3329917155","31G","332","332991","332",""
"3329919","31G","332","332991","332",""
"33299191","31G","332","332991","332",""
"3329919111","31G","332","332991","332",""
"3329919121","31G","332","332991","332",""
"3329919131","31G","332","332991","332",""
"3329919135","31G","332","332991","332",""
"3329919136","31G","332","332991","332",""
"3329919137","31G","332","332991","332",""
"3329919149","31G","332","332991","332",""
"3329919159","31G","332","332991","332",""
"332992","31G","332","33299A","332",""
"3329920","31G","332","33299A","332",""
"33299201","31G","332","33299A","332",""
"3329920101","31G","332","33299A","332",""
"33299202","31G","332","33299A","332",""
"3329920206","31G","332","33299A","332",""
"33299203","31G","332","33299A","332",""
"3329920311","31G","332","33299A","332",""
"33299204","31G","332","33299A","332",""
"3329920416","31G","332","33299A","332",""
"33299207","31G","332","33299A","332",""
"3329920731","31G","332","33299A","332",""
"33299209","31G","332","33299A","332",""
"3329920901","31G","332","33299A","332",""
